,prices
1332,1403
1333,1410
1334,1416
1335,1412
1336,1405
1337,1403
1338,1408
1339,1411
1340,1415
1341,1419
1342,1413
1343,1398
1344,1398
1345,1394
1346,1390
1347,1386
1348,1382
1349,1358
1350,1368
1351,1387
1352,1370
1353,1370
1354,1369
1355,1369
1356,1390
1357,1385
1358,1376
1359,1378
1360,1374
1361,1370
1362,1366
1363,1371
1364,1390
1365,1399
1366,1403
1367,1401
1368,1399
1369,1397
1370,1405
1371,1402
1372,1391
1373,1369
1374,1369
1375,1369
1376,1369
1377,1363
1378,1354
1379,1357
1380,1353
1381,1348
1382,1343
1383,1338
1384,1330
1385,1324
1386,1304
1387,1295
1388,1302
1389,1309
1390,1315
1391,1316
1392,1318
1393,1320
1394,1317
1395,1321
1396,1325
1397,1328
1398,1332
1399,1313
1400,1310
1401,1278
1402,1278
1403,1278
1404,1278
1405,1285
1406,1315
1407,1314
1408,1325
1409,1320
1410,1314
1411,1308
1412,1324
1413,1314
1414,1329
1415,1342
1416,1343
1417,1344
1418,1344
1419,1357
1420,1355
1421,1325
1422,1335
1423,1327
1424,1320
1425,1313
1426,1319
1427,1331
1428,1329
1429,1362
1430,1363
1431,1364
1432,1365
1433,1374
1434,1370
1435,1367
1436,1354
1437,1353
1438,1353
1439,1352
1440,1341
1441,1341
1442,1334
1443,1356
1444,1355
1445,1354
1446,1353
1447,1363
1448,1372
1449,1376
1450,1362
1451,1358
1452,1354
1453,1350
1454,1338
1455,1337
1456,1360
1457,1385
1458,1385
1459,1385
1460,1385
1461,1379
1462,1375
1463,1365
1464,1390
1465,1392
1466,1393
1467,1394
1468,1401
1469,1402
1470,1402
1471,1405
1472,1405
1473,1404
1474,1404
1475,1403
1476,1405
1477,1415
1478,1418
1479,1418
1480,1418
1481,1418
1482,1413
1483,1413
1484,1402
1485,1411
1486,1410
1487,1410
1488,1410
1489,1409
1490,1410
1491,1399
1492,1406
1493,1406
1494,1405
1495,1405
1496,1404
1497,1403
1498,1432
1499,1437
1500,1434
1501,1432
1502,1429
1503,1433
1504,1436
1505,1459
1506,1465
1507,1464
1508,1462
1509,1461
1510,1459
1511,1461
1512,1460
1513,1460
1514,1459
1515,1457
1516,1456
1517,1441
1518,1433
1519,1447
1520,1440
1521,1441
1522,1443
1523,1444
1524,1445
1525,1450
1526,1461
1527,1460
1528,1459
1529,1457
1530,1455
1531,1441
1532,1432
1533,1432
1534,1428
1535,1432
1536,1436
1537,1440
1538,1454
1539,1460
1540,1457
1541,1433
1542,1433
1543,1433
1544,1433
1545,1413
1546,1408
1547,1412
1548,1411
1549,1411
1550,1412
1551,1412
1552,1412
1553,1412
1554,1427
1555,1414
1556,1415
1557,1416
1558,1417
1559,1428
1560,1394
1561,1377
1562,1379
1563,1379
1564,1379
1565,1380
1566,1374
1567,1355
1568,1353
1569,1359
1570,1368
1571,1377
1572,1386
1573,1387
1574,1391
1575,1400
1576,1409
1577,1408
1578,1407
1579,1406
1580,1398
1581,1409
1582,1415
1583,1416
1584,1413
1585,1411
1586,1409
1587,1407
1588,1409
1589,1413
1590,1418
1591,1418
1592,1418
1593,1418
1594,1427
1595,1428
1596,1419
1597,1413
1598,1419
1599,1424
1600,1430
1601,1446
1602,1435
1603,1443
1604,1430
1605,1428
1606,1427
1607,1426
1608,1423
1609,1419
1610,1418
1611,1402
1612,1410
1613,1418
1614,1426
1615,1444
1616,1462
1617,1459
1618,1466
1619,1464
1620,1463
1621,1461
1622,1457
1623,1461
1624,1472
1625,1472
1626,1471
1627,1471
1628,1470
1629,1472
1630,1472
1631,1480
1632,1485
1633,1487
1634,1489
1635,1490
1636,1492
1637,1494
1638,1494
1639,1502
1640,1502
1641,1501
1642,1500
1643,1507
1644,1501
1645,1498
1646,1513
1647,1507
1648,1501
1649,1495
1650,1511
1651,1512
1652,1509
1653,1517
1654,1517
1655,1517
1656,1517
1657,1519
1658,1520
1659,1521
1660,1519
1661,1522
1662,1525
1663,1528
1664,1530
1665,1511
1666,1502
1667,1515
1668,1506
1669,1497
1670,1487
1671,1496
1672,1515
1673,1514
1674,1518
1675,1520
1676,1522
1677,1525
1678,1539
1679,1541
1680,1544
1681,1551
1682,1552
1683,1554
1684,1556
1685,1552
1686,1554
1687,1563
1688,1560
1689,1557
1690,1554
1691,1552
1692,1548
1693,1558
1694,1545
1695,1556
1696,1555
1697,1553
1698,1551
1699,1563
1700,1562
1701,1569
1702,1567
1703,1565
1704,1563
1705,1562
1706,1570
1707,1553
1708,1559
1709,1553
1710,1556
1711,1559
1712,1563
1713,1568
1714,1587
1715,1593
1716,1588
1717,1576
1718,1564
1719,1552
1720,1574
1721,1552
1722,1541
1723,1555
1724,1557
1725,1560
1726,1562
1727,1578
1728,1578
1729,1585
1730,1582
1731,1586
1732,1589
1733,1593
1734,1597
1735,1582
1736,1597
1737,1614
1738,1615
1739,1616
1740,1617
1741,1625
1742,1632
1743,1626
1744,1633
1745,1633
1746,1633
1747,1633
1748,1650
1749,1658
1750,1650
1751,1667
1752,1667
1753,1666
1754,1666
1755,1669
1756,1655
1757,1650
1758,1649
1759,1652
1760,1654
1761,1657
1762,1660
1763,1648
1764,1654
1765,1630
1766,1633
1767,1637
1768,1640
1769,1631
1770,1608
1771,1622
1772,1643
1773,1643
1774,1643
1775,1642
1776,1626
1777,1612
1778,1636
1779,1626
1780,1630
1781,1634
1782,1639
1783,1651
1784,1628
1785,1588
1786,1592
1787,1585
1788,1579
1789,1573
1790,1588
1791,1603
1792,1613
1793,1606
1794,1609
1795,1612
1796,1614
1797,1614
1798,1615
1799,1623
1800,1631
1801,1634
1802,1637
1803,1640
1804,1652
1805,1652
1806,1675
1807,1680
1808,1680
1809,1681
1810,1682
1811,1676
1812,1680
1813,1689
1814,1692
1815,1693
1816,1694
1817,1695
1818,1692
1819,1685
1820,1690
1821,1691
1822,1689
1823,1687
1824,1685
1825,1685
1826,1685
1827,1706
1828,1709
1829,1708
1830,1707
1831,1707
1832,1697
1833,1690
1834,1697
1835,1691
1836,1690
1837,1690
1838,1689
1839,1694
1840,1685
1841,1661
1842,1655
1843,1652
1844,1649
1845,1646
1846,1652
1847,1642
1848,1656
1849,1663
1850,1661
1851,1659
1852,1656
1853,1630
1854,1634
1855,1638
1856,1632
1857,1634
1858,1636
1859,1638
1860,1639
1861,1653
1862,1655
1863,1655
1864,1660
1865,1666
1866,1671
1867,1683
1868,1689
1869,1683
1870,1687
1871,1691
1872,1694
1873,1697
1874,1704
1875,1725
1876,1722
1877,1709
1878,1707
1879,1704
1880,1701
1881,1697
1882,1692
1883,1698
1884,1691
1885,1688
1886,1684
1887,1681
1888,1695
1889,1693
1890,1678
1891,1690
1892,1685
1893,1680
1894,1676
1895,1655
1896,1656
1897,1692
1898,1703
1899,1705
1900,1707
1901,1710
1902,1698
1903,1721
1904,1733
1905,1744
1906,1744
1907,1744
1908,1744
1909,1754
1910,1746
1911,1752
1912,1759
1913,1760
1914,1761
1915,1762
1916,1771
1917,1763
1918,1756
1919,1761
1920,1763
1921,1765
1922,1767
1923,1762
1924,1770
1925,1747
1926,1770
1927,1771
1928,1771
1929,1771
1930,1767
1931,1782
1932,1790
1933,1798
1934,1795
1935,1793
1936,1791
1937,1787
1938,1781
1939,1795
1940,1804
1941,1804
1942,1803
1943,1802
1944,1802
1945,1807
1946,1806
1947,1805
1948,1804
1949,1802
1950,1800
1951,1795
1952,1792
1953,1785
1954,1805
1955,1806
1956,1807
1957,1808
1958,1802
1959,1782
1960,1775
1961,1775
1962,1779
1963,1782
1964,1786
1965,1781
1966,1810
1967,1809
1968,1818
1969,1821
1970,1824
1971,1827
1972,1833
1973,1837
1974,1842
1975,1841
1976,1841
1977,1841
1978,1841
1979,1848
1980,1840
1981,1831
1982,1831
1983,1829
1984,1828
1985,1826
1986,1837
1987,1837
1988,1838
1989,1842
1990,1834
1991,1826
1992,1819
1993,1838
1994,1848
1995,1845
1996,1838
1997,1839
1998,1841
1999,1842
2000,1843
2001,1844
2002,1828
2003,1790
2004,1787
2005,1784
2006,1781
2007,1792
2008,1774
2009,1794
2010,1782
2011,1769
2012,1755
2013,1741
2014,1755
2015,1751
2016,1773
2017,1797
2018,1797
2019,1798
2020,1799
2021,1819
2022,1819
2023,1829
2024,1838
2025,1839
2026,1839
2027,1840
2028,1840
2029,1828
2030,1839
